INFO:root:episode:9  step:4 Cost:188962.95499675832 min Cost:59145.426146352256 Reward:0 global reward:0 Action:[0, 1]
INFO:root:episode:9  step:5 Cost:206766.06981812092 min Cost:127898.65641601461 Reward:0 global reward:0 Action:[1, 2]
INFO:root:episode:9  step:6 Cost:206766.06981812092 min Cost:119391.19032708627 Reward:-873748.7949103465 global reward:0 Action:[1, 3]
INFO:root:episode:10  step:1 Cost:65237.10164004913 min Cost:42807.91049418297 Reward:0 global reward:0 Action:[1, 4]
INFO:root:episode:10  step:2 Cost:84162.93270088485 min Cost:59124.59281301892 Reward:0 global reward:0 Action:[2, 3]
INFO:root:episode:10  step:3 Cost:84162.93270088485 min Cost:59141.259479685585 Reward:0 global reward:0 Action:[2, 5]
INFO:root:episode:10  step:4 Cost:84175.43270088485 min Cost:59145.426146352256 Reward:0 global reward:0 Action:[2, 0]
INFO:root:episode:10  step:5 Cost:84179.5993675515 min Cost:127898.65641601461 Reward:0 global reward:0 Action:[1, 2]
INFO:root:episode:10  step:6 Cost:84162.93270088485 min Cost:119391.19032708627 Reward:100 global reward:100 Action:[2, 1]
INFO:root:episode:1  step:1 Cost:16.805264450024687 min Cost:-1 Reward:0 global reward:0 Action:[1, 4]
INFO:root:episode:1  step:2 Cost:28.17629619239468 min Cost:-1 Reward:0 global reward:0 Action:[3, 2]
INFO:root:episode:1  step:3 Cost:36.69382131940202 min Cost:-1 Reward:0 global reward:0 Action:[2, 3]
INFO:root:episode:1  step:4 Cost:36.48707333137705 min Cost:-1 Reward:0 global reward:0 Action:[0, 5]
INFO:root:episode:1  step:5 Cost:48.98707333137705 min Cost:-1 Reward:0 global reward:0 Action:[2, 0]
INFO:root:episode:1  step:6 Cost:53.15373999804371 min Cost:-1 Reward:0 global reward:0 Action:[0, 1]
INFO:root:episode:2  step:1 Cost:17.081168069886697 min Cost:16.805264450024687 Reward:0 global reward:0 Action:[3, 1]
INFO:root:episode:2  step:2 Cost:33.41123848769127 min Cost:28.17629619239468 Reward:0 global reward:0 Action:[2, 3]
INFO:root:episode:2  step:3 Cost:44.52530605904764 min Cost:36.69382131940202 Reward:0 global reward:0 Action:[0, 5]
INFO:root:episode:2  step:4 Cost:39.488603243760515 min Cost:36.48707333137705 Reward:0 global reward:0 Action:[1, 2]
INFO:root:episode:2  step:5 Cost:43.65526991042719 min Cost:48.98707333137705 Reward:0 global reward:0 Action:[1, 4]
INFO:root:episode:2  step:6 Cost:56.15526991042719 min Cost:53.15373999804371 Reward:-30.01529912383475 global reward:0 Action:[2, 0]
INFO:root:episode:3  step:1 Cost:17.771439802911672 min Cost:16.805264450024687 Reward:0 global reward:0 Action:[3, 3]
INFO:root:episode:3  step:2 Cost:49.999149569217536 min Cost:28.17629619239468 Reward:0 global reward:0 Action:[1, 4]
INFO:root:episode:3  step:3 Cost:58.399490207084746 min Cost:36.69382131940202 Reward:0 global reward:0 Action:[0, 5]
INFO:root:episode:3  step:4 Cost:62.56615687375141 min Cost:36.48707333137705 Reward:0 global reward:0 Action:[1, 2]
INFO:root:episode:3  step:5 Cost:63.6130564636072 min Cost:48.98707333137705 Reward:0 global reward:0 Action:[2, 1]
INFO:root:episode:3  step:6 Cost:51.1130564636072 min Cost:53.15373999804371 Reward:100 global reward:100 Action:[2, 0]
INFO:root:episode:4  step:1 Cost:19.20225154535484 min Cost:16.805264450024687 Reward:0 global reward:100 Action:[0, 2]
INFO:root:episode:4  step:2 Cost:57.4647326045725 min Cost:28.17629619239468 Reward:0 global reward:100 Action:[1, 4]
INFO:root:episode:4  step:3 Cost:69.9647326045725 min Cost:36.69382131940202 Reward:0 global reward:100 Action:[1, 1]
INFO:root:episode:4  step:4 Cost:71.87253141753895 min Cost:36.48707333137705 Reward:0 global reward:100 Action:[2, 3]
INFO:root:episode:4  step:5 Cost:63.53919808420563 min Cost:48.98707333137705 Reward:0 global reward:100 Action:[0, 5]
INFO:root:episode:4  step:6 Cost:63.53919808420563 min Cost:51.1130564636072 Reward:-124.26141620598429 global reward:100 Action:[2, 0]
INFO:root:episode:5  step:1 Cost:46.01037542627802 min Cost:16.805264450024687 Reward:0 global reward:100 Action:[1, 4]
INFO:root:episode:5  step:2 Cost:55.92869655869242 min Cost:28.17629619239468 Reward:0 global reward:100 Action:[3, 2]
INFO:root:episode:5  step:3 Cost:54.651903284118454 min Cost:36.69382131940202 Reward:0 global reward:100 Action:[2, 3]
INFO:root:episode:5  step:4 Cost:47.79052269176858 min Cost:36.48707333137705 Reward:0 global reward:100 Action:[0, 1]
INFO:root:episode:5  step:5 Cost:56.123856025101915 min Cost:48.98707333137705 Reward:0 global reward:100 Action:[0, 5]
INFO:root:episode:5  step:6 Cost:56.123856025101915 min Cost:51.1130564636072 Reward:-50.10799561494714 global reward:100 Action:[2, 0]
INFO:root:episode:6  step:1 Cost:21.881816817228973 min Cost:16.805264450024687 Reward:0 global reward:100 Action:[1, 4]
INFO:root:episode:6  step:2 Cost:41.44130657757911 min Cost:28.17629619239468 Reward:0 global reward:100 Action:[3, 2]
INFO:root:episode:6  step:3 Cost:46.83680745423037 min Cost:36.69382131940202 Reward:0 global reward:100 Action:[2, 3]
INFO:root:episode:6  step:4 Cost:43.527230312947985 min Cost:36.48707333137705 Reward:0 global reward:100 Action:[0, 5]
INFO:root:episode:6  step:5 Cost:60.19389697961466 min Cost:48.98707333137705 Reward:0 global reward:100 Action:[0, 1]
INFO:root:episode:6  step:6 Cost:60.19389697961466 min Cost:51.1130564636072 Reward:-90.80840516007456 global reward:100 Action:[2, 0]
INFO:root:episode:7  step:1 Cost:21.881816817228973 min Cost:16.805264450024687 Reward:0 global reward:100 Action:[1, 4]
INFO:root:episode:7  step:2 Cost:35.60300040175724 min Cost:28.17629619239468 Reward:0 global reward:100 Action:[2, 0]
INFO:root:episode:7  step:3 Cost:42.17284305061069 min Cost:36.69382131940202 Reward:0 global reward:100 Action:[1, 5]
INFO:root:episode:7  step:4 Cost:52.84454412194061 min Cost:36.48707333137705 Reward:0 global reward:100 Action:[3, 2]
INFO:root:episode:7  step:5 Cost:57.01121078860727 min Cost:48.98707333137705 Reward:0 global reward:100 Action:[2, 3]
INFO:root:episode:7  step:6 Cost:44.51121078860727 min Cost:51.1130564636072 Reward:200 global reward:200 Action:[2, 1]
INFO:root:episode:8  step:1 Cost:19.538792509523674 min Cost:16.805264450024687 Reward:0 global reward:200 Action:[1, 4]
INFO:root:episode:8  step:2 Cost:38.6014433751746 min Cost:28.17629619239468 Reward:0 global reward:200 Action:[3, 2]
INFO:root:episode:8  step:3 Cost:44.63754359283251 min Cost:36.69382131940202 Reward:0 global reward:200 Action:[2, 3]
INFO:root:episode:8  step:4 Cost:41.83270928609989 min Cost:36.48707333137705 Reward:0 global reward:200 Action:[0, 5]
INFO:root:episode:8  step:5 Cost:54.3327092860999 min Cost:48.98707333137705 Reward:0 global reward:200 Action:[2, 0]
INFO:root:episode:8  step:6 Cost:41.83270928609989 min Cost:44.51121078860727 Reward:300 global reward:300 Action:[2, 1]
INFO:root:episode:9  step:1 Cost:19.538792509523674 min Cost:16.805264450024687 Reward:0 global reward:300 Action:[1, 4]
INFO:root:episode:9  step:2 Cost:29.951797773911583 min Cost:28.17629619239468 Reward:0 global reward:300 Action:[3, 2]
INFO:root:episode:9  step:3 Cost:37.327744609982346 min Cost:36.69382131940202 Reward:0 global reward:300 Action:[2, 3]
INFO:root:episode:9  step:4 Cost:37.327744609982346 min Cost:36.48707333137705 Reward:0 global reward:300 Action:[2, 5]
INFO:root:episode:9  step:5 Cost:44.80705943775919 min Cost:48.98707333137705 Reward:0 global reward:300 Action:[0, 1]
INFO:root:episode:9  step:6 Cost:44.80705943775919 min Cost:41.83270928609989 Reward:-29.743501516593014 global reward:300 Action:[2, 0]
INFO:root:episode:10  step:1 Cost:19.863981545442318 min Cost:16.805264450024687 Reward:0 global reward:300 Action:[1, 4]
INFO:root:episode:10  step:2 Cost:30.053650801043176 min Cost:28.17629619239468 Reward:0 global reward:300 Action:[3, 2]
INFO:root:episode:10  step:3 Cost:37.314879732385556 min Cost:36.69382131940202 Reward:0 global reward:300 Action:[2, 3]
INFO:root:episode:10  step:4 Cost:37.314879732385556 min Cost:36.48707333137705 Reward:0 global reward:300 Action:[3, 1]
INFO:root:episode:10  step:5 Cost:49.81487973238555 min Cost:48.98707333137705 Reward:0 global reward:300 Action:[2, 0]
INFO:root:episode:10  step:6 Cost:48.835339424531426 min Cost:41.83270928609989 Reward:-70.02630138431535 global reward:300 Action:[0, 5]
INFO:root:episode:11  step:1 Cost:19.863981545442318 min Cost:16.805264450024687 Reward:0 global reward:300 Action:[1, 4]
INFO:root:episode:11  step:2 Cost:38.27695748853971 min Cost:28.17629619239468 Reward:0 global reward:300 Action:[0, 5]
INFO:root:episode:11  step:3 Cost:41.79197882964175 min Cost:36.69382131940202 Reward:0 global reward:300 Action:[3, 2]
