INFO:root:episode:9  step:4 Cost:68.02636422359619 min Cost:51.61812010795834 Reward:0 global reward:200 Action:[1, 5]
INFO:root:episode:9  step:5 Cost:57.21652940565427 min Cost:56.82237506295318 Reward:0 global reward:200 Action:[3, 0]
INFO:root:episode:9  step:6 Cost:57.21652940565427 min Cost:40.14870880769806 Reward:-170.67820597956214 global reward:200 Action:[3, 4]
INFO:root:episode:10  step:1 Cost:26.82325606506131 min Cost:25.04342577574281 Reward:0 global reward:200 Action:[2, 2]
INFO:root:episode:10  step:2 Cost:41.34857707406133 min Cost:37.51455383872964 Reward:0 global reward:200 Action:[0, 3]
INFO:root:episode:10  step:3 Cost:53.013833080217545 min Cost:50.01455383872964 Reward:0 global reward:200 Action:[1, 1]
INFO:root:episode:10  step:4 Cost:57.328735101593054 min Cost:51.61812010795834 Reward:0 global reward:200 Action:[1, 4]
INFO:root:episode:10  step:5 Cost:44.828735101593054 min Cost:56.82237506295318 Reward:0 global reward:200 Action:[1, 0]
INFO:root:episode:10  step:6 Cost:36.495401768259725 min Cost:40.14870880769806 Reward:300 global reward:300 Action:[1, 5]
INFO:root:episode:11  step:1 Cost:26.82325606506131 min Cost:25.04342577574281 Reward:0 global reward:300 Action:[2, 2]
INFO:root:episode:11  step:2 Cost:41.34857707406133 min Cost:37.51455383872964 Reward:0 global reward:300 Action:[0, 3]
INFO:root:episode:11  step:3 Cost:53.16206843492639 min Cost:50.01455383872964 Reward:0 global reward:300 Action:[1, 1]
INFO:root:episode:11  step:4 Cost:61.495401768259725 min Cost:51.61812010795834 Reward:0 global reward:300 Action:[1, 5]
INFO:root:episode:11  step:5 Cost:52.889622418351266 min Cost:56.82237506295318 Reward:0 global reward:300 Action:[3, 0]
INFO:root:episode:11  step:6 Cost:53.252694156931554 min Cost:36.495401768259725 Reward:-167.57292388671829 global reward:300 Action:[0, 4]
INFO:root:episode:12  step:1 Cost:32.101859158924015 min Cost:25.04342577574281 Reward:0 global reward:300 Action:[0, 1]
INFO:root:episode:12  step:2 Cost:53.67046929517535 min Cost:37.51455383872964 Reward:0 global reward:300 Action:[1, 3]
INFO:root:episode:12  step:3 Cost:49.5179414481558 min Cost:50.01455383872964 Reward:0 global reward:300 Action:[3, 0]
INFO:root:episode:12  step:4 Cost:57.851274781489124 min Cost:51.61812010795834 Reward:0 global reward:300 Action:[1, 5]
INFO:root:episode:12  step:5 Cost:50.04115763477919 min Cost:56.82237506295318 Reward:0 global reward:300 Action:[2, 2]
INFO:root:episode:12  step:6 Cost:45.874490968112525 min Cost:36.495401768259725 Reward:-93.790891998528 global reward:300 Action:[0, 4]
INFO:root:episode:13  step:1 Cost:26.894733927952018 min Cost:25.04342577574281 Reward:0 global reward:300 Action:[2, 2]
INFO:root:episode:13  step:2 Cost:50.49413444094076 min Cost:37.51455383872964 Reward:0 global reward:300 Action:[1, 4]
INFO:root:episode:13  step:3 Cost:61.7925152469764 min Cost:50.01455383872964 Reward:0 global reward:300 Action:[0, 0]
INFO:root:episode:13  step:4 Cost:74.29251524697641 min Cost:51.61812010795834 Reward:0 global reward:300 Action:[0, 3]
INFO:root:episode:13  step:5 Cost:70.12584858030974 min Cost:56.82237506295318 Reward:0 global reward:300 Action:[1, 1]
INFO:root:episode:13  step:6 Cost:74.68365680096551 min Cost:36.495401768259725 Reward:-381.88255032705786 global reward:300 Action:[1, 5]
INFO:root:episode:14  step:1 Cost:26.886288330841545 min Cost:25.04342577574281 Reward:0 global reward:300 Action:[2, 2]
INFO:root:episode:14  step:2 Cost:51.93806733386288 min Cost:37.51455383872964 Reward:0 global reward:300 Action:[0, 3]
INFO:root:episode:14  step:3 Cost:78.79159806306286 min Cost:50.01455383872964 Reward:0 global reward:300 Action:[1, 1]
INFO:root:episode:14  step:4 Cost:87.12493139639619 min Cost:51.61812010795834 Reward:0 global reward:300 Action:[1, 5]
INFO:root:episode:14  step:5 Cost:73.59088713168973 min Cost:56.82237506295318 Reward:0 global reward:300 Action:[3, 0]
INFO:root:episode:14  step:6 Cost:73.59088713168973 min Cost:36.495401768259725 Reward:-370.9548536343 global reward:300 Action:[0, 4]
INFO:root:episode:15  step:1 Cost:26.886288330841545 min Cost:25.04342577574281 Reward:0 global reward:300 Action:[2, 2]
INFO:root:episode:15  step:2 Cost:54.203175132753266 min Cost:37.51455383872964 Reward:0 global reward:300 Action:[0, 3]
INFO:root:episode:15  step:3 Cost:79.85289994258024 min Cost:50.01455383872964 Reward:0 global reward:300 Action:[1, 1]
INFO:root:episode:15  step:4 Cost:88.18623327591357 min Cost:51.61812010795834 Reward:0 global reward:300 Action:[1, 5]
INFO:root:episode:15  step:5 Cost:74.4956907747516 min Cost:56.82237506295318 Reward:0 global reward:300 Action:[3, 0]
INFO:root:episode:15  step:6 Cost:74.4956907747516 min Cost:36.495401768259725 Reward:-380.0028900649187 global reward:300 Action:[3, 4]
INFO:root:episode:16  step:1 Cost:27.013394834771248 min Cost:25.04342577574281 Reward:0 global reward:300 Action:[2, 2]
INFO:root:episode:16  step:2 Cost:54.28722250303806 min Cost:37.51455383872964 Reward:0 global reward:300 Action:[0, 3]
INFO:root:episode:16  step:3 Cost:63.583951450781385 min Cost:50.01455383872964 Reward:0 global reward:300 Action:[1, 1]
INFO:root:episode:16  step:4 Cost:71.91728478411473 min Cost:51.61812010795834 Reward:0 global reward:300 Action:[1, 5]
INFO:root:episode:16  step:5 Cost:59.51724100886653 min Cost:56.82237506295318 Reward:0 global reward:300 Action:[3, 0]
INFO:root:episode:16  step:6 Cost:59.51724100886653 min Cost:36.495401768259725 Reward:-230.218392406068 global reward:300 Action:[0, 4]
INFO:root:episode:17  step:1 Cost:27.013394834771248 min Cost:25.04342577574281 Reward:0 global reward:300 Action:[2, 2]
INFO:root:episode:17  step:2 Cost:33.95527682305092 min Cost:37.51455383872964 Reward:0 global reward:300 Action:[3, 1]
INFO:root:episode:17  step:3 Cost:33.95527682305092 min Cost:50.01455383872964 Reward:0 global reward:300 Action:[3, 0]
INFO:root:episode:17  step:4 Cost:33.95527682305092 min Cost:51.61812010795834 Reward:0 global reward:300 Action:[3, 4]
INFO:root:episode:17  step:5 Cost:46.33621009964265 min Cost:56.82237506295318 Reward:0 global reward:300 Action:[2, 3]
INFO:root:episode:17  step:6 Cost:53.99336560829242 min Cost:36.495401768259725 Reward:-174.97963840032696 global reward:300 Action:[0, 5]
INFO:root:episode:18  step:1 Cost:26.80228196439779 min Cost:25.04342577574281 Reward:0 global reward:300 Action:[2, 4]
INFO:root:episode:18  step:2 Cost:43.0104055760452 min Cost:37.51455383872964 Reward:0 global reward:300 Action:[3, 0]
INFO:root:episode:18  step:3 Cost:59.60637896036116 min Cost:50.01455383872964 Reward:0 global reward:300 Action:[0, 1]
INFO:root:episode:18  step:4 Cost:67.93971229369448 min Cost:51.61812010795834 Reward:0 global reward:300 Action:[2, 3]
INFO:root:episode:18  step:5 Cost:78.37286876375276 min Cost:56.82237506295318 Reward:0 global reward:300 Action:[0, 5]
INFO:root:episode:18  step:6 Cost:89.98029462754941 min Cost:36.495401768259725 Reward:-534.8489285928969 global reward:300 Action:[2, 2]
INFO:root:episode:19  step:1 Cost:69.23212268541266 min Cost:25.04342577574281 Reward:0 global reward:300 Action:[2, 2]
INFO:root:episode:19  step:2 Cost:80.53438973475421 min Cost:37.51455383872964 Reward:0 global reward:300 Action:[0, 3]
INFO:root:episode:19  step:3 Cost:85.87644786924406 min Cost:50.01455383872964 Reward:0 global reward:300 Action:[1, 1]
INFO:root:episode:19  step:4 Cost:94.2097812025774 min Cost:51.61812010795834 Reward:0 global reward:300 Action:[1, 5]
INFO:root:episode:19  step:5 Cost:75.83348214752228 min Cost:56.82237506295318 Reward:0 global reward:300 Action:[3, 4]
INFO:root:episode:19  step:6 Cost:75.83348214752228 min Cost:36.495401768259725 Reward:-393.3808037926255 global reward:300 Action:[3, 0]
INFO:root:episode:20  step:1 Cost:69.23212268541266 min Cost:25.04342577574281 Reward:0 global reward:300 Action:[2, 2]
INFO:root:episode:20  step:2 Cost:79.2585989304992 min Cost:37.51455383872964 Reward:0 global reward:300 Action:[0, 3]
INFO:root:episode:20  step:3 Cost:84.58394885785498 min Cost:50.01455383872964 Reward:0 global reward:300 Action:[1, 1]
INFO:root:episode:20  step:4 Cost:66.31846581237102 min Cost:51.61812010795834 Reward:0 global reward:300 Action:[3, 5]
INFO:root:episode:20  step:5 Cost:74.65179914570436 min Cost:56.82237506295318 Reward:0 global reward:300 Action:[0, 4]
INFO:root:episode:20  step:6 Cost:74.65179914570436 min Cost:36.495401768259725 Reward:-381.56397377444637 global reward:300 Action:[3, 0]
INFO:root:episode:21  step:1 Cost:29.478559954814 min Cost:25.04342577574281 Reward:0 global reward:300 Action:[2, 2]
INFO:root:episode:21  step:2 Cost:51.10597842687612 min Cost:37.51455383872964 Reward:0 global reward:300 Action:[0, 3]
INFO:root:episode:21  step:3 Cost:60.51307734287577 min Cost:50.01455383872964 Reward:0 global reward:300 Action:[1, 1]
INFO:root:episode:21  step:4 Cost:60.51307734287577 min Cost:51.61812010795834 Reward:0 global reward:300 Action:[0, 5]
INFO:root:episode:21  step:5 Cost:54.18474232363106 min Cost:56.82237506295318 Reward:0 global reward:300 Action:[3, 0]
INFO:root:episode:21  step:6 Cost:45.851408990297735 min Cost:36.495401768259725 Reward:-93.56007222038009 global reward:300 Action:[0, 4]
INFO:root:episode:22  step:1 Cost:29.478559954814 min Cost:25.04342577574281 Reward:0 global reward:300 Action:[2, 2]
INFO:root:episode:22  step:2 Cost:52.67362216865943 min Cost:37.51455383872964 Reward:0 global reward:300 Action:[0, 3]
INFO:root:episode:22  step:3 Cost:61.469446218226494 min Cost:50.01455383872964 Reward:0 global reward:300 Action:[1, 1]
INFO:root:episode:22  step:4 Cost:69.80277955155984 min Cost:51.61812010795834 Reward:0 global reward:300 Action:[1, 5]
INFO:root:episode:22  step:5 Cost:62.62388562485691 min Cost:56.82237506295318 Reward:0 global reward:300 Action:[3, 0]
INFO:root:episode:22  step:6 Cost:62.62388562485691 min Cost:36.495401768259725 Reward:-261.2848385659719 global reward:300 Action:[0, 4]
INFO:root:episode:23  step:1 Cost:27.14293784138471 min Cost:25.04342577574281 Reward:0 global reward:300 Action:[2, 2]
INFO:root:episode:23  step:2 Cost:52.37229450387944 min Cost:37.51455383872964 Reward:0 global reward:300 Action:[0, 3]
INFO:root:episode:23  step:3 Cost:62.34393289559578 min Cost:50.01455383872964 Reward:0 global reward:300 Action:[1, 1]
INFO:root:episode:23  step:4 Cost:70.67726622892911 min Cost:51.61812010795834 Reward:0 global reward:300 Action:[1, 5]
INFO:root:episode:23  step:5 Cost:59.92152394824623 min Cost:56.82237506295318 Reward:0 global reward:300 Action:[3, 0]
INFO:root:episode:23  step:6 Cost:52.04036963627021 min Cost:36.495401768259725 Reward:-155.44967868010488 global reward:300 Action:[0, 4]
INFO:root:episode:24  step:1 Cost:6.489445805549428 min Cost:25.04342577574281 Reward:0 global reward:300 Action:[3, 3]
INFO:root:episode:24  step:2 Cost:6.489445805549428 min Cost:37.51455383872964 Reward:0 global reward:300 Action:[3, 0]
INFO:root:episode:24  step:3 Cost:39.8697286415619 min Cost:50.01455383872964 Reward:0 global reward:300 Action:[2, 1]
INFO:root:episode:24  step:4 Cost:60.405206798175 min Cost:51.61812010795834 Reward:0 global reward:300 Action:[1, 5]
INFO:root:episode:24  step:5 Cost:60.405206798175 min Cost:56.82237506295318 Reward:0 global reward:300 Action:[3, 4]
INFO:root:episode:24  step:6 Cost:52.071873464841666 min Cost:36.495401768259725 Reward:-155.7647169658194 global reward:300 Action:[1, 2]
INFO:root:episode:25  step:1 Cost:27.382070993914056 min Cost:25.04342577574281 Reward:0 global reward:300 Action:[2, 4]
INFO:root:episode:25  step:2 Cost:47.12295822206386 min Cost:37.51455383872964 Reward:0 global reward:300 Action:[3, 0]
INFO:root:episode:25  step:3 Cost:59.62295822206386 min Cost:50.01455383872964 Reward:0 global reward:300 Action:[2, 3]
INFO:root:episode:25  step:4 Cost:60.513877314377694 min Cost:51.61812010795834 Reward:0 global reward:300 Action:[0, 5]
INFO:root:episode:25  step:5 Cost:68.84721064771102 min Cost:56.82237506295318 Reward:0 global reward:300 Action:[2, 1]
INFO:root:episode:25  step:6 Cost:64.68054398104435 min Cost:36.495401768259725 Reward:-281.85142212784626 global reward:300 Action:[2, 2]
INFO:root:episode:26  step:1 Cost:68.62249061194194 min Cost:25.04342577574281 Reward:0 global reward:300 Action:[2, 2]
INFO:root:episode:26  step:2 Cost:75.96709884542227 min Cost:37.51455383872964 Reward:0 global reward:300 Action:[0, 3]
INFO:root:episode:26  step:3 Cost:70.41274652049961 min Cost:50.01455383872964 Reward:0 global reward:300 Action:[3, 4]
INFO:root:episode:26  step:4 Cost:58.32155226819402 min Cost:51.61812010795834 Reward:0 global reward:300 Action:[1, 0]
INFO:root:episode:26  step:5 Cost:66.65488560152735 min Cost:56.82237506295318 Reward:0 global reward:300 Action:[1, 5]
INFO:root:episode:26  step:6 Cost:66.65488560152735 min Cost:36.495401768259725 Reward:-301.5948383326763 global reward:300 Action:[0, 1]
INFO:root:episode:27  step:1 Cost:68.62249061194194 min Cost:25.04342577574281 Reward:0 global reward:300 Action:[2, 2]
INFO:root:episode:27  step:2 Cost:75.96709884542227 min Cost:37.51455383872964 Reward:0 global reward:300 Action:[0, 3]
INFO:root:episode:27  step:3 Cost:82.80462792073462 min Cost:50.01455383872964 Reward:0 global reward:300 Action:[1, 1]
INFO:root:episode:27  step:4 Cost:91.13796125406796 min Cost:51.61812010795834 Reward:0 global reward:300 Action:[1, 5]
INFO:root:episode:27  step:5 Cost:88.1180180021283 min Cost:56.82237506295318 Reward:0 global reward:300 Action:[0, 0]
INFO:root:episode:27  step:6 Cost:88.1180180021283 min Cost:36.495401768259725 Reward:-516.2261623386858 global reward:300 Action:[0, 4]
INFO:root:episode:28  step:1 Cost:56.47452013558198 min Cost:25.04342577574281 Reward:0 global reward:300 Action:[2, 2]
INFO:root:episode:28  step:2 Cost:69.71889955808395 min Cost:37.51455383872964 Reward:0 global reward:300 Action:[0, 3]
INFO:root:episode:28  step:3 Cost:74.50384299086352 min Cost:50.01455383872964 Reward:0 global reward:300 Action:[1, 1]
INFO:root:episode:28  step:4 Cost:82.83717632419685 min Cost:51.61812010795834 Reward:0 global reward:300 Action:[0, 4]
INFO:root:episode:28  step:5 Cost:65.2309494765636 min Cost:56.82237506295318 Reward:0 global reward:300 Action:[3, 0]
INFO:root:episode:28  step:6 Cost:65.2309494765636 min Cost:36.495401768259725 Reward:-287.3554770830387 global reward:300 Action:[1, 5]
INFO:root:episode:29  step:1 Cost:56.47452013558198 min Cost:25.04342577574281 Reward:0 global reward:300 Action:[2, 2]
INFO:root:episode:29  step:2 Cost:69.71889955808395 min Cost:37.51455383872964 Reward:0 global reward:300 Action:[0, 3]
INFO:root:episode:29  step:3 Cost:74.50384299086352 min Cost:50.01455383872964 Reward:0 global reward:300 Action:[1, 1]
INFO:root:episode:29  step:4 Cost:82.83717632419685 min Cost:51.61812010795834 Reward:0 global reward:300 Action:[1, 5]
INFO:root:episode:29  step:5 Cost:67.82373604945307 min Cost:56.82237506295318 Reward:0 global reward:300 Action:[3, 0]
INFO:root:episode:29  step:6 Cost:67.96557461770325 min Cost:36.495401768259725 Reward:-314.7017284944353 global reward:300 Action:[0, 4]
INFO:root:episode:30  step:1 Cost:28.480417832827086 min Cost:25.04342577574281 Reward:0 global reward:300 Action:[2, 2]
INFO:root:episode:30  step:2 Cost:53.70627312950509 min Cost:37.51455383872964 Reward:0 global reward:300 Action:[0, 3]
INFO:root:episode:30  step:3 Cost:63.35409579519029 min Cost:50.01455383872964 Reward:0 global reward:300 Action:[1, 1]
INFO:root:episode:30  step:4 Cost:50.85409579519029 min Cost:51.61812010795834 Reward:0 global reward:300 Action:[1, 0]
INFO:root:episode:30  step:5 Cost:59.18742912852362 min Cost:56.82237506295318 Reward:0 global reward:300 Action:[1, 5]
INFO:root:episode:30  step:6 Cost:49.09021786104423 min Cost:36.495401768259725 Reward:-125.94816092784505 global reward:300 Action:[0, 4]
INFO:root:episode:31  step:1 Cost:17.94497653835189 min Cost:25.04342577574281 Reward:0 global reward:300 Action:[1, 4]
INFO:root:episode:31  step:2 Cost:20.738039115455635 min Cost:37.51455383872964 Reward:0 global reward:300 Action:[3, 0]
INFO:root:episode:31  step:3 Cost:36.06407001253169 min Cost:50.01455383872964 Reward:0 global reward:300 Action:[2, 3]
INFO:root:episode:31  step:4 Cost:36.06407001253169 min Cost:51.61812010795834 Reward:0 global reward:300 Action:[3, 1]
INFO:root:episode:31  step:5 Cost:39.2746512085253 min Cost:56.82237506295318 Reward:0 global reward:300 Action:[1, 5]
INFO:root:episode:31  step:6 Cost:35.10798454185863 min Cost:36.495401768259725 Reward:400 global reward:400 Action:[1, 2]
INFO:root:episode:32  step:1 Cost:28.213526281799417 min Cost:25.04342577574281 Reward:0 global reward:400 Action:[2, 2]
INFO:root:episode:32  step:2 Cost:41.8625744367025 min Cost:37.51455383872964 Reward:0 global reward:400 Action:[0, 3]
INFO:root:episode:32  step:3 Cost:52.242746183057655 min Cost:50.01455383872964 Reward:0 global reward:400 Action:[1, 0]
INFO:root:episode:32  step:4 Cost:43.90941284972432 min Cost:51.61812010795834 Reward:0 global reward:400 Action:[1, 1]
INFO:root:episode:32  step:5 Cost:85.90441308270194 min Cost:56.82237506295318 Reward:0 global reward:400 Action:[2, 4]
INFO:root:episode:32  step:6 Cost:85.90441308270194 min Cost:35.10798454185863 Reward:-507.96428540843306 global reward:400 Action:[1, 5]
INFO:root:episode:33  step:1 Cost:88.14460638854466 min Cost:25.04342577574281 Reward:0 global reward:400 Action:[2, 5]
INFO:root:episode:33  step:2 Cost:82.88475222529371 min Cost:37.51455383872964 Reward:0 global reward:400 Action:[3, 0]
INFO:root:episode:33  step:3 Cost:78.71808555862707 min Cost:50.01455383872964 Reward:0 global reward:400 Action:[2, 3]
INFO:root:episode:33  step:4 Cost:95.3847522252937 min Cost:51.61812010795834 Reward:0 global reward:400 Action:[2, 1]
INFO:root:episode:33  step:5 Cost:82.88475222529371 min Cost:56.82237506295318 Reward:0 global reward:400 Action:[2, 2]
INFO:root:episode:33  step:6 Cost:70.47561639660913 min Cost:35.10798454185863 Reward:-353.676318547505 global reward:400 Action:[0, 4]
INFO:root:episode:34  step:1 Cost:75.64460638854466 min Cost:25.04342577574281 Reward:0 global reward:400 Action:[2, 2]
INFO:root:episode:34  step:2 Cost:81.89772241779642 min Cost:37.51455383872964 Reward:0 global reward:400 Action:[0, 3]
INFO:root:episode:34  step:3 Cost:88.00181057285766 min Cost:50.01455383872964 Reward:0 global reward:400 Action:[1, 1]
INFO:root:episode:34  step:4 Cost:96.8333249989481 min Cost:51.61812010795834 Reward:0 global reward:400 Action:[1, 5]
INFO:root:episode:34  step:5 Cost:82.21157669978932 min Cost:56.82237506295318 Reward:0 global reward:400 Action:[3, 0]
INFO:root:episode:34  step:6 Cost:82.21157669978932 min Cost:35.10798454185863 Reward:-471.0359215793069 global reward:400 Action:[0, 4]
INFO:root:episode:35  step:1 Cost:88.6475831325509 min Cost:25.04342577574281 Reward:0 global reward:400 Action:[2, 2]
INFO:root:episode:35  step:2 Cost:102.82088565293235 min Cost:37.51455383872964 Reward:0 global reward:400 Action:[1, 1]
INFO:root:episode:35  step:3 Cost:119.48755231959902 min Cost:50.01455383872964 Reward:0 global reward:400 Action:[1, 5]
